Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPG,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG,position
Justin Jefferson,MIN,10.0,43.2,1.0,-12.0,0.0,-12.0,0.0,100.0,68.0,1074.0,15.8,5.0,134.2,13.4,wr
Rashee Rice,KC,16.0,24.4,1.0,-3.0,0.0,-3.0,0.0,102.0,79.0,938.0,11.9,7.0,133.5,8.3,wr
Courtland Sutton,DEN,16.0,36.0,0.0,0.0,0.0,0.0,0.0,90.0,59.0,772.0,13.1,10.0,131.2,8.2,wr
Zay Flowers,BAL,16.0,37.4,8.0,56.0,0.0,7.0,1.0,108.0,77.0,858.0,11.1,5.0,129.4,8.1,wr
Adam Thielen,CAR,17.0,58.0,1.0,6.0,0.0,6.0,0.0,137.0,103.0,1014.0,9.8,4.0,128.0,7.5,wr
Jaylen Waddle,MIA,14.0,33.7,3.0,12.0,0.0,4.0,0.0,104.0,72.0,1014.0,14.1,4.0,126.6,9.0,wr
Chris Godwin,TB,17.0,46.2,4.0,38.0,0.0,9.5,1.0,130.0,83.0,1024.0,12.3,2.0,126.2,7.4,wr
Terry McLaurin,WAS,17.0,46.5,0.0,0.0,0.0,0.0,0.0,132.0,79.0,1002.0,12.7,4.0,124.2,7.3,wr
Tyler Lockett,SEA,17.0,34.9,0.0,0.0,0.0,0.0,0.0,122.0,79.0,894.0,11.3,5.0,123.4,7.3,wr
Brandin Cooks,DAL,16.0,35.4,5.0,35.0,0.0,7.0,0.0,81.0,54.0,657.0,12.2,8.0,119.2,7.5,wr
Garrett Wilson,NYJ,17.0,47.8,4.0,0.0,0.0,0.0,0.0,168.0,95.0,1042.0,11.0,3.0,118.2,7.0,wr
Tank Dell,HOU,11.0,44.1,11.0,51.0,0.0,4.6,0.0,75.0,47.0,709.0,15.1,7.0,118.0,10.7,wr
Gabe Davis,JAC,17.0,42.7,1.0,-2.0,0.0,-2.0,0.0,81.0,45.0,746.0,16.6,7.0,116.4,6.8,wr
Romeo Doubs,GB,17.0,36.6,0.0,0.0,0.0,0.0,0.0,96.0,59.0,674.0,11.4,8.0,115.4,6.8,wr
Drake London,ATL,16.0,53.7,0.0,0.0,0.0,0.0,0.0,110.0,69.0,905.0,13.1,2.0,105.4,6.6,wr
Cooper Kupp,LA,12.0,53.3,1.0,-3.0,0.0,-3.0,0.0,95.0,59.0,737.0,12.5,5.0,105.4,8.8,wr
Rashid Shaheed,NO,15.0,34.5,7.0,37.0,0.0,5.3,0.0,75.0,46.0,719.0,15.6,5.0,103.6,6.9,wr
Diontae Johnson,CAR,13.0,27.4,0.0,0.0,0.0,0.0,0.0,87.0,51.0,717.0,14.1,5.0,101.7,7.8,wr
Darius Slayton,NYG,17.0,40.4,0.0,0.0,0.0,0.0,0.0,79.0,50.0,770.0,15.4,4.0,101.0,5.9,wr
Tee Higgins,CIN,12.0,26.2,0.0,0.0,0.0,0.0,0.0,76.0,42.0,656.0,15.6,5.0,95.6,8.0,wr
Curtis Samuel,BUF,16.0,29.8,7.0,39.0,0.0,5.6,1.0,91.0,62.0,613.0,9.9,4.0,95.2,6.0,wr
Christian Kirk,JAC,12.0,48.7,1.0,6.0,0.0,6.0,0.0,85.0,57.0,787.0,13.8,3.0,93.3,7.8,wr
Josh Downs,IND,17.0,44.1,0.0,0.0,0.0,0.0,0.0,98.0,68.0,771.0,11.3,2.0,89.1,5.2,wr
Josh Reynolds,DEN,17.0,36.2,0.0,0.0,0.0,0.0,0.0,64.0,40.0,608.0,15.2,5.0,88.8,5.2,wr
